frame,timestamp
0,2014-09-08T04:00:00.033Z
1,2014-09-08T04:00:00.066Z
2,2014-09-08T04:00:00.099Z
3,2014-09-08T04:00:00.132Z
4,2014-09-08T04:00:00.165Z
5,2014-09-08T04:00:00.198Z
6,2014-09-08T04:00:00.231Z
7,2014-09-08T04:00:00.264Z
8,2014-09-08T04:00:00.297Z
9,2014-09-08T04:00:00.330Z
10,2014-09-08T04:00:00.363Z
11,2014-09-08T04:00:00.396Z
12,2014-09-08T04:00:00.429Z
13,2014-09-08T04:00:00.462Z
14,2014-09-08T04:00:00.495Z
15,2014-09-08T04:00:00.528Z
16,2014-09-08T04:00:00.561Z
17,2014-09-08T04:00:00.594Z
18,2014-09-08T04:00:00.627Z
19,2014-09-08T04:00:00.660Z
20,2014-09-08T04:00:00.693Z
21,2014-09-08T04:00:00.726Z
22,2014-09-08T04:00:00.759Z
23,2014-09-08T04:00:00.792Z
24,2014-09-08T04:00:00.825Z
25,2014-09-08T04:00:00.858Z
26,2014-09-08T04:00:00.891Z
27,2014-09-08T04:00:00.924Z
28,2014-09-08T04:00:00.957Z
29,2014-09-08T04:00:00.990Z
30,2014-09-08T04:00:01.023Z
31,2014-09-08T04:00:01.056Z
32,2014-09-08T04:00:01.089Z
33,2014-09-08T04:00:01.122Z
34,2014-09-08T04:00:01.155Z
35,2014-09-08T04:00:01.188Z
36,2014-09-08T04:00:01.221Z
37,2014-09-08T04:00:01.254Z
38,2014-09-08T04:00:01.287Z
39,2014-09-08T04:00:01.320Z
40,2014-09-08T04:00:01.353Z
41,2014-09-08T04:00:01.386Z
42,2014-09-08T04:00:01.419Z
43,2014-09-08T04:00:01.452Z
44,2014-09-08T04:00:01.485Z
45,2014-09-08T04:00:01.518Z
46,2014-09-08T04:00:01.551Z
47,2014-09-08T04:00:01.584Z
48,2014-09-08T04:00:01.617Z
49,2014-09-08T04:00:01.650Z
50,2014-09-08T04:00:01.683Z
51,2014-09-08T04:00:01.716Z
52,2014-09-08T04:00:01.749Z
53,2014-09-08T04:00:01.782Z
54,2014-09-08T04:00:01.815Z
55,2014-09-08T04:00:01.848Z
56,2014-09-08T04:00:01.881Z
57,2014-09-08T04:00:01.914Z
58,2014-09-08T04:00:01.947Z
59,2014-09-08T04:00:01.980Z
60,2014-09-08T04:00:02.013Z
61,2014-09-08T04:00:02.046Z
62,2014-09-08T04:00:02.079Z
63,2014-09-08T04:00:02.112Z
64,2014-09-08T04:00:02.145Z
65,2014-09-08T04:00:02.178Z
66,2014-09-08T04:00:02.211Z
67,2014-09-08T04:00:02.244Z
68,2014-09-08T04:00:02.277Z
69,2014-09-08T04:00:02.310Z
70,2014-09-08T04:00:02.343Z
71,2014-09-08T04:00:02.376Z
72,2014-09-08T04:00:02.409Z
73,2014-09-08T04:00:02.442Z
74,2014-09-08T04:00:02.475Z
75,2014-09-08T04:00:02.508Z
76,2014-09-08T04:00:02.541Z
77,2014-09-08T04:00:02.574Z
78,2014-09-08T04:00:02.607Z
79,2014-09-08T04:00:02.640Z
80,2014-09-08T04:00:02.673Z
81,2014-09-08T04:00:02.706Z
82,2014-09-08T04:00:02.739Z
83,2014-09-08T04:00:02.772Z
84,2014-09-08T04:00:02.805Z
85,2014-09-08T04:00:02.838Z
86,2014-09-08T04:00:02.871Z
87,2014-09-08T04:00:02.904Z
88,2014-09-08T04:00:02.937Z
89,2014-09-08T04:00:02.970Z
90,2014-09-08T04:00:03.003Z
91,2014-09-08T04:00:03.036Z
92,2014-09-08T04:00:03.069Z
93,2014-09-08T04:00:03.102Z
94,2014-09-08T04:00:03.135Z
95,2014-09-08T04:00:03.168Z
96,2014-09-08T04:00:03.201Z
97,2014-09-08T04:00:03.234Z
98,2014-09-08T04:00:03.267Z
99,2014-09-08T04:00:03.300Z
100,2014-09-08T04:00:03.333Z
101,2014-09-08T04:00:03.366Z
102,2014-09-08T04:00:03.399Z
103,2014-09-08T04:00:03.432Z
104,2014-09-08T04:00:03.465Z
105,2014-09-08T04:00:03.498Z
106,2014-09-08T04:00:03.531Z
107,2014-09-08T04:00:03.564Z
108,2014-09-08T04:00:03.597Z
109,2014-09-08T04:00:03.630Z
110,2014-09-08T04:00:03.663Z
111,2014-09-08T04:00:03.696Z
112,2014-09-08T04:00:03.729Z
113,2014-09-08T04:00:03.762Z
114,2014-09-08T04:00:03.795Z
115,2014-09-08T04:00:03.828Z
116,2014-09-08T04:00:03.861Z
