grid_active_power,wind_speed
2994.11,10.87
2594.94,10.38
2326.83,10.34
1941.46,9.28
1581.49,8.26
1013.29,7.16
375.62,5.5
198.15,4.65
87.44,3.85
189.14,4.55
434.43,5.74
336.5,5.06
296.61,4.92
92.92,3.82
85.7,3.58
309.51,4.72
381.17,5.08
417.27,5.34
446.34,5.45
206.6,4.3
251.38,4.74
275.01,4.78
314.27,4.89
238.78,4.49
409.03,5.31
506.47,5.71
427.96,5.37
952.27,6.9
1019.91,7.24
1015.36,6.71
979.72,6.85
379.41,5.08
841.6,6.52
672.62,6.17
452.08,5.45
559,5.85
331.72,5.09
212.1,4.6
79.72,3.63
183.01,4.47
279.2,4.92
460.22,5.63
647.71,6.32
685.08,6.24
709.83,6.45
493.36,5.78
366.08,5.35
183.04,4.38
7.35,3.01
0,3.74
12.34,3.25
-0.39,2.19
0,2.14
0,2.5
0,2.67
0,3.03
0,3.2
0,3.91
65.99,3.8
157.85,4.44
50.42,3.68
88.19,4.12
242.31,4.99
262.8,4.87
584.67,5.92
298.59,5.03
279.77,5
823.48,6.43
883.27,7
1155.17,7.63
1400.39,8.1
1205.1,7.52
1292.05,7.69
1856.18,8.46
1928.18,9.08
1604.43,8.44
1600,7.99
1456.09,7.94
1386.62,7.72
1460.36,7.77
1894.8,8.58
1760.42,8.34
2010.98,9.08
1828.82,8.68
1960.69,9.15
1900.45,9.19
1549.96,8.26
1692.69,8.49
1931.08,8.79
2060.15,8.96
2069.63,9.1
2037.27,8.73
1594.85,8.11
994.58,6.86
1137.29,7.28
1267.86,7.53
1002.46,6.95
1172.35,7.09
1252.14,7.41
1121.17,6.93
1183.02,7.15
932.31,6.57
989.51,6.76
750.55,6.41
825.77,6.52
1116.49,7.06
986.76,6.69
1018.15,6.81
659.18,6.1
729.49,6.14
864.5,6.43
1342.24,7.54
1279.1,7.36
1351.39,7.46
1039.73,7.03
876.02,6.87
754.01,6.35
1122.33,7.19
907.8,6.64
1009.74,6.93
1806.99,8.33
2374.84,9.53
1779.21,8.43
1334.98,7.49
1562.95,8.01
1562.12,7.94
1464.98,7.73
1312.36,7.46
767.04,6.42
283.26,4.75
687.11,6.26
465.75,5.5
355.62,5.27
467.83,5.7
865.35,6.58
1512.97,7.68
1491.7,7.9
2004.44,8.96
1581.48,8.08
1431.62,7.8
1523.79,7.98
1693.27,8.16
1775.04,8.25
1875.41,8.5
1558.06,7.96
1811.09,8.35
1686.13,8.14
2362.26,9.6
2000.86,8.98
1169.96,7.28
1309.22,7.52
759.01,6.22
498.19,5.5
332.48,5.11
253.58,4.65
180.41,4.37
258.37,4.83
133.01,4.91
0,2.89
0,2.39
0,2.48
0,1.77
0,2.48
0,2.76
0,2.51
0,3.44
0,2.48
0,2.44
0,2.36
0,3.02
0,3.4
0,3.41
0,5.16
0,5.16
0,5.41
0,6.78
0,4.44
210.72,5.01
338.65,5.27
518.55,5.92
504.07,5.86
446.73,5.65
705.7,6.35
795.32,6.64
1012.68,7.01
1240.82,7.56
1282.07,7.4
941.59,6.8
590.84,5.83
650.56,6.08
871.51,6.58
914.12,6.64
835.84,6.35
624.99,6.04
591.96,5.76
509.35,5.69
1190.82,7.07
963.73,6.64
980.98,6.69
777.85,6.36
980.22,6.83
962.43,6.72
462.77,5.42
1139.24,6.95
1418.63,7.42
1716.14,8.38
1312.79,7.49
1222.02,7.38
703.72,6.24
470.8,5.49
387.34,5.12
402.47,5.29
460.29,5.54
619.87,6.02
470.2,5.6
691.01,6.28
827,6.49
892.42,6.79
907.19,6.76
545.27,5.72
688.84,6.24
591.91,5.95
660.69,6.17
747.41,6.35
1174.24,7.17
873.48,6.63
845.21,6.55
837.06,6.4
949.49,6.8
1045.36,6.92
791.08,6.28
994.75,6.68
933.42,6.72
1049.43,7.13
671.72,6.15
966.83,6.9
982.26,6.93
825.66,6.57
723.14,6.4
418.64,5.45
327.28,5.11
388.32,5.23
167.22,4.24
137.25,4.14
130.77,4.16
117.81,4.12
111.34,4.13
114.3,4.2
143.79,4.36
88.94,3.95
183.67,4.43
82.14,3.68
139.95,4.06
434.5,5.49
474.06,5.63
415.15,5.39
435.03,5.46
402.39,5.45
257.22,4.76
137.42,4.1
102.36,3.94
92.74,3.88
78.12,3.84
110.31,4.13
102.55,4.08
77.85,3.84
81.45,3.98
66.64,3.82
90.01,3.98
112.03,4.14
82.11,3.93
13.93,3.23
0,2.69
0,3.76
55.45,3.73
22.78,3.31
4.36,2.85
0,2.66
0,3.14
0,2.63
0,1.74
0,1.94
0,1.76
0,1.54
0,1.62
0,2.06
0,2.06
0,2.15
0,2.05
0,1.64
0,0.84
0,1.29
0,1.37
0,2.46
0,3.07
0,2.98
0,2.9
0,2.2
0,3.42
0,3.21
0,3.09
0,2.96
0,3.8
0,2.68
0,2.17
0,2.13
0,1.91
0,1.72
0,1.95
0,2.1
0,2.17
0,1.79
0,1.51
0,1.6
0,1.38
0,1.28
0,1.77
0,1.63
0,1.43
0,1.67
0,1.55
0,1.98
0,2.63
0,2.41
0,2.15
0,2.12
0,2.24
0,2.8
0,3.2
0,2.88
0,2.85
0,2.86
0,2.5
0,2.93
0,2.83
0,2.27
0,2.45
0,2.88
0,2.96
0,3.57
0,2.45
0,1.79
0,1.93
0,1.66
0,2.15
0,2.62
0,2.29
0,2.67
0,2.72
0,2.81
0,2.68
0,2.55
0,2.33
0,1.55
0,1.57
0,2.11
0,1.79
0,1.78
0,1.45
0,2.14
0,2.6
0,2.09
0,1.93
0,1.9
0,1.39
0,1.38
0,1.21
0,1.21
0,1.22
0,0.86
0,0.53
0,0.72
0,1.21
0,0.68
0,1.8
0,1.81
0,0.77
0,0.68
0,0.85
0,0.78
0,0.66
0,0.66
0,0.74
0,0.37
0,0.67
0,0.46
0,0.94
0,0.96
0,1.55
0,2.18
0,1.63
0,0.81
0,0.57
0,0.97
