timestamp,grid_activepower,wind_speed,Theoretical_Power_Curve,Wind Direction (°)
01 01 2018 00:00,380.05,5.31,416.33,259.99
01 01 2018 00:10,453.77,5.67,519.92,268.64
01 01 2018 00:20,306.38,5.22,390.90,272.56
01 01 2018 00:30,419.65,5.66,516.13,271.26
01 01 2018 00:40,380.65,5.58,491.70,265.67
01 01 2018 00:50,402.39,5.60,499.44,264.58
01 01 2018 01:00,447.61,5.79,557.37,266.16
01 01 2018 01:10,387.24,5.31,414.90,257.95
01 01 2018 01:20,463.65,5.58,493.68,253.48
01 01 2018 01:30,439.73,5.52,475.71,258.72
01 01 2018 01:40,498.18,5.72,535.84,251.85
01 01 2018 01:50,526.82,5.93,603.01,265.50
01 01 2018 02:00,710.59,6.55,824.66,274.23
01 01 2018 02:10,655.19,6.20,693.47,266.73
01 01 2018 02:20,754.76,6.51,808.10,266.76
01 01 2018 02:30,790.17,6.63,859.46,270.49
01 01 2018 02:40,742.99,6.38,759.43,266.59
01 01 2018 02:50,748.23,6.45,785.28,265.57
01 01 2018 03:00,736.65,6.42,773.17,261.16
01 01 2018 03:10,787.25,6.44,781.77,257.56
01 01 2018 03:20,722.86,6.22,700.76,255.93
01 01 2018 03:30,935.03,6.90,970.74,250.01
01 01 2018 03:40,1220.61,7.61,1315.05,255.99
01 01 2018 03:50,1053.77,7.29,1151.27,255.44
01 01 2018 04:00,1493.81,7.94,1497.58,256.41
01 01 2018 04:10,1724.49,8.38,1752.20,252.41
01 01 2018 04:20,1636.94,8.24,1668.47,247.98
01 01 2018 04:30,1385.49,7.88,1461.82,238.61
01 01 2018 04:40,1098.93,7.10,1062.29,245.10
01 01 2018 04:50,1021.46,6.96,996.00,245.41
01 01 2018 05:00,1164.89,7.10,1060.86,235.23
01 01 2018 05:10,1073.33,6.95,995.25,242.87
01 01 2018 05:20,1165.31,7.25,1132.42,244.84
01 01 2018 05:30,1177.99,7.29,1154.37,242.48
01 01 2018 05:40,1170.54,7.38,1194.84,247.98
01 01 2018 05:50,1145.54,7.45,1231.43,249.68
01 01 2018 06:00,1114.03,7.24,1127.43,248.40
01 01 2018 06:10,1153.19,7.33,1171.36,244.62
01 01 2018 06:20,1125.33,7.14,1080.14,244.63
01 01 2018 06:30,1228.73,7.47,1244.63,245.79
01 01 2018 06:40,1021.79,7.03,1030.99,248.65
01 01 2018 06:50,957.38,6.89,965.68,244.61
01 01 2018 07:00,909.89,6.89,966.28,235.85
01 01 2018 07:10,1000.95,7.22,1116.47,232.84
01 01 2018 07:20,1024.48,7.07,1047.17,229.93
01 01 2018 07:30,1009.53,6.94,988.45,230.14
01 01 2018 07:40,899.49,6.54,820.42,234.93
01 01 2018 07:50,725.11,6.18,686.64,232.84
01 01 2018 08:00,585.26,5.82,564.93,240.33
01 01 2018 08:10,443.91,5.45,454.77,238.13
01 01 2018 08:20,565.25,5.82,565.35,235.80
01 01 2018 08:30,644.04,6.13,668.82,224.96
01 01 2018 08:40,712.06,6.35,747.46,216.80
01 01 2018 08:50,737.39,6.35,747.60,205.79
01 01 2018 09:00,725.87,6.19,691.55,199.85
01 01 2018 09:10,409.00,4.98,330.42,208.00
01 01 2018 09:20,628.44,5.96,611.28,210.95
01 01 2018 09:30,716.10,6.21,697.65,215.69
01 01 2018 09:40,711.50,6.11,662.24,220.84
01 01 2018 09:50,838.15,6.46,789.01,237.07
01 01 2018 10:00,881.06,6.67,872.74,235.67
01 01 2018 10:10,663.70,6.16,680.33,229.33
01 01 2018 10:20,578.26,6.01,628.44,234.90
01 01 2018 10:30,465.62,5.56,486.78,230.42
01 01 2018 10:40,311.05,4.96,326.41,229.54
01 01 2018 10:50,230.06,4.60,244.32,231.80
01 01 2018 11:00,233.99,4.55,233.63,234.11
01 01 2018 11:10,175.59,4.26,173.57,228.78
01 01 2018 11:20,118.13,3.89,108.57,227.94
01 01 2018 11:30,142.20,4.04,130.23,224.46
01 01 2018 11:40,212.57,4.51,223.20,224.95
01 01 2018 11:50,222.61,4.54,231.24,229.13
01 01 2018 12:00,194.18,4.32,185.60,227.04
01 01 2018 12:10,82.64,3.63,68.50,230.31
01 01 2018 12:20,75.90,3.71,78.40,233.95
01 01 2018 12:30,41.95,3.25,29.29,233.07
01 01 2018 12:40,118.53,3.78,88.87,227.75
01 01 2018 12:50,250.76,4.69,264.12,229.90
01 01 2018 13:00,346.86,5.00,336.72,235.28
01 01 2018 13:10,416.42,5.36,430.92,235.59
01 01 2018 13:20,331.94,5.02,339.98,229.94
01 01 2018 13:30,583.48,5.97,615.06,235.70
01 01 2018 13:40,776.55,6.66,868.18,241.46
01 01 2018 13:50,752.73,6.60,846.03,242.78
01 01 2018 14:00,589.07,5.98,618.73,234.98
01 01 2018 14:10,1109.13,7.42,1219.20,235.15
01 01 2018 14:20,1482.46,8.19,1638.51,238.48
01 01 2018 14:30,1523.43,8.27,1691.15,237.03
01 01 2018 14:40,1572.17,8.45,1796.76,238.33
01 01 2018 14:50,1698.94,8.58,1875.05,235.64
01 01 2018 15:00,1616.85,8.28,1695.54,236.46
01 01 2018 15:10,1796.82,8.73,1974.48,234.35
01 01 2018 15:20,1885.86,8.76,1993.17,231.00
01 01 2018 15:30,2327.51,9.67,2568.83,227.60
01 01 2018 15:40,2499.16,10.14,2876.75,227.73
01 01 2018 15:50,2820.51,10.77,3186.03,225.28
01 01 2018 16:00,2812.28,10.65,3133.26,224.68
01 01 2018 16:10,2530.45,9.98,2781.27,225.52
01 01 2018 16:20,2399.12,9.87,2711.49,227.27
01 01 2018 16:30,2335.59,9.79,2651.34,229.26
01 01 2018 16:40,2341.13,9.61,2527.95,230.74
01 01 2018 16:50,2391.85,9.62,2531.15,229.49
01 01 2018 17:00,2118.39,9.10,2207.79,223.96
01 01 2018 17:10,1866.85,8.68,1938.48,219.79
01 01 2018 17:20,1865.62,8.77,2000.01,219.04
01 01 2018 17:30,1862.45,8.69,1946.37,215.34
01 01 2018 17:40,1884.12,8.63,1909.42,216.28
01 01 2018 17:50,1855.78,8.61,1899.10,214.53
01 01 2018 18:00,1958.13,9.22,2285.92,212.18
01 01 2018 18:10,2228.24,10.05,2822.51,210.31
01 01 2018 18:20,2529.29,10.32,2974.87,210.59
01 01 2018 18:30,2788.26,10.77,3183.72,207.48
01 01 2018 18:40,2692.93,10.56,3093.11,208.55
01 01 2018 18:50,2535.35,10.25,2938.39,208.01
01 01 2018 19:00,2584.67,10.46,3048.82,205.75
