timestamp,wind_speed,grid_activepower,anomaly_status,anomaly_severity,lr_coef
01 01 2018 00:00,5.31,380.05,0,0.0,
01 01 2018 00:10,5.67,453.77,0,0.0,
01 01 2018 00:20,5.22,306.38,0,0.0,
01 01 2018 00:30,5.66,419.65,0,0.0,
01 01 2018 00:40,5.58,380.65,0,0.0,241.79611650484247
01 01 2018 00:50,5.6,402.39,0,0.0,
01 01 2018 01:00,5.79,447.61,0,0.0,
01 01 2018 01:10,5.31,387.24,0,0.0,
01 01 2018 01:20,5.58,463.65,0,0.0,
01 01 2018 01:30,5.52,439.73,0,0.0,
01 01 2018 01:40,5.72,498.18,0,0.0,
01 01 2018 01:50,5.93,526.82,0,0.0,
01 01 2018 02:00,6.55,710.59,0,0.0,
01 01 2018 02:10,6.2,655.19,0,0.0,
01 01 2018 02:20,6.51,754.76,0,0.0,
01 01 2018 02:30,6.63,790.17,0,0.0,
01 01 2018 02:40,6.38,742.99,0,0.0,
01 01 2018 02:50,6.45,748.23,0,0.0,
01 01 2018 03:00,6.42,736.65,0,0.0,
01 01 2018 03:10,6.44,787.25,0,0.0,
01 01 2018 03:20,6.22,722.86,0,0.0,
01 01 2018 03:30,6.9,935.03,0,0.0,
01 01 2018 03:40,7.61,1220.61,0,0.0,
01 01 2018 03:50,7.29,1053.77,0,0.0,
01 01 2018 04:00,7.94,1493.81,0,0.0,
01 01 2018 04:10,8.38,1724.49,0,0.0,
01 01 2018 04:20,8.24,1636.94,0,0.0,
01 01 2018 04:30,7.88,1385.49,0,0.0,
01 01 2018 04:40,7.1,1098.93,0,0.0,
01 01 2018 04:50,6.96,1021.46,0,0.0,
01 01 2018 05:00,7.1,1164.89,0,0.0,
01 01 2018 05:10,6.95,1073.33,0,0.0,
01 01 2018 05:20,7.25,1165.31,0,0.0,
01 01 2018 05:30,7.29,1177.99,0,0.0,
01 01 2018 05:40,7.38,1170.54,0,0.0,
01 01 2018 05:50,7.45,1145.54,0,0.0,
01 01 2018 06:00,7.24,1114.03,0,0.0,
01 01 2018 06:10,7.33,1153.19,0,0.0,
01 01 2018 06:20,7.14,1125.33,0,0.0,
01 01 2018 06:30,7.47,1228.73,0,0.0,
01 01 2018 06:40,7.03,1021.79,0,0.0,
01 01 2018 06:50,6.89,957.38,0,0.0,
01 01 2018 07:00,6.89,909.89,0,0.0,
01 01 2018 07:10,7.22,1000.95,0,0.0,
01 01 2018 07:20,7.07,1024.48,0,0.0,
01 01 2018 07:30,6.94,1009.53,0,0.0,
01 01 2018 07:40,6.54,899.49,0,0.0,
01 01 2018 07:50,6.18,725.11,0,0.0,
01 01 2018 08:00,5.82,585.26,0,0.0,
01 01 2018 08:10,5.45,443.91,0,0.0,
01 01 2018 08:20,5.82,565.25,0,0.0,
01 01 2018 08:30,6.13,644.04,0,0.0,
01 01 2018 08:40,6.35,712.06,0,0.0,
01 01 2018 08:50,6.35,737.39,0,0.0,
01 01 2018 09:00,6.19,725.87,0,0.0,
01 01 2018 09:10,4.98,409.0,0,0.0,
01 01 2018 09:20,5.96,628.44,0,0.0,
01 01 2018 09:30,6.21,716.1,0,0.0,
01 01 2018 09:40,6.11,711.5,0,0.0,
01 01 2018 09:50,6.46,838.15,0,0.0,
01 01 2018 10:00,6.67,881.06,0,0.0,
01 01 2018 10:10,6.16,663.7,0,0.0,
01 01 2018 10:20,6.01,578.26,0,0.0,
01 01 2018 10:30,5.56,465.62,0,0.0,
01 01 2018 10:40,4.96,311.05,0,0.0,
01 01 2018 10:50,4.6,230.06,0,0.0,
01 01 2018 11:00,4.55,233.99,0,0.0,
01 01 2018 11:10,4.26,175.59,0,0.0,
01 01 2018 11:20,3.89,118.13,0,0.0,
01 01 2018 11:30,4.04,142.2,0,0.0,
01 01 2018 11:40,4.51,212.57,0,0.0,
01 01 2018 11:50,4.54,222.61,0,0.0,
01 01 2018 12:00,4.32,194.18,0,0.0,
01 01 2018 12:10,3.63,82.64,0,0.0,
01 01 2018 12:20,3.71,75.9,0,0.0,
01 01 2018 12:30,3.25,41.95,0,0.0,
01 01 2018 12:40,3.78,118.53,0,0.0,
01 01 2018 12:50,4.69,250.76,0,0.0,
01 01 2018 13:00,5.0,346.86,0,0.0,
01 01 2018 13:10,5.36,416.42,0,0.0,
01 01 2018 13:20,5.02,331.94,0,0.0,
01 01 2018 13:30,5.97,583.48,0,0.0,
01 01 2018 13:40,6.66,776.55,0,0.0,
01 01 2018 13:50,6.6,752.73,0,0.0,
01 01 2018 14:00,5.98,589.07,0,0.0,
01 01 2018 14:10,7.42,1109.13,0,0.0,
01 01 2018 14:20,8.19,1482.46,0,0.0,
01 01 2018 14:30,8.27,1523.43,0,0.0,
01 01 2018 14:40,8.45,1572.17,0,0.0,
01 01 2018 14:50,8.58,1698.94,0,0.0,
01 01 2018 15:00,8.28,1616.85,0,0.0,
01 01 2018 15:10,8.73,1796.82,0,0.0,
01 01 2018 15:20,8.76,1885.86,0,0.0,
01 01 2018 15:30,9.67,2327.51,0,0.0,
01 01 2018 15:40,10.14,2499.16,0,0.0,
01 01 2018 15:50,10.77,2820.51,0,0.0,
01 01 2018 16:00,10.65,2812.28,0,0.0,
01 01 2018 16:10,9.98,2530.45,0,0.0,
01 01 2018 16:20,9.87,2399.12,0,0.0,
01 01 2018 16:30,9.79,2335.59,0,0.0,
01 01 2018 16:40,9.61,2341.13,0,0.0,
01 01 2018 16:50,9.62,2391.85,0,0.0,
01 01 2018 17:00,9.1,2118.39,0,0.0,
01 01 2018 17:10,8.68,1866.85,0,0.0,
01 01 2018 17:20,8.77,1865.62,0,0.0,
01 01 2018 17:30,8.69,1862.45,0,0.0,
01 01 2018 17:40,8.63,1884.12,0,0.0,
01 01 2018 17:50,8.61,1855.78,0,0.0,
01 01 2018 18:00,9.22,1958.13,0,0.0,
01 01 2018 18:10,10.05,2228.24,0,0.0,
01 01 2018 18:20,10.32,2529.29,0,0.0,473.55249011063535
01 01 2018 18:30,10.77,2788.26,0,0.0,
01 01 2018 18:40,10.56,2692.93,0,0.0,
01 01 2018 18:50,10.25,2535.35,0,0.0,
01 01 2018 19:00,10.46,2584.67,0,0.0,
01 01 2018 19:10,11.39,2960.18,0,0.0,
01 01 2018 19:20,11.57,3062.98,0,0.0,
01 01 2018 19:30,11.28,3024.39,0,0.0,
01 01 2018 19:40,11.34,3187.97,0,0.0,
01 01 2018 19:50,11.8,3387.23,0,0.0,
01 01 2018 20:00,11.36,3209.02,0,0.0,
01 01 2018 20:10,11.63,3272.67,0,0.0,
01 01 2018 20:20,11.44,3209.7,0,0.0,
01 01 2018 20:30,11.27,3134.52,0,0.0,
01 01 2018 20:40,11.06,2977.82,0,0.0,
01 01 2018 20:50,12.1,3431.77,0,0.0,
01 01 2018 21:00,12.93,3604.21,0,0.0,
01 01 2018 21:10,13.32,3601.33,0,0.0,
01 01 2018 21:20,13.12,3604.43,0,0.0,
01 01 2018 21:30,13.24,3604.39,0,0.0,
01 01 2018 21:40,13.24,3604.34,0,0.0,
01 01 2018 21:50,13.03,3554.69,0,0.0,
01 01 2018 22:00,12.96,3479.41,0,0.0,
01 01 2018 22:10,12.9,3472.33,0,0.0,
01 01 2018 22:20,12.77,3491.51,0,0.0,
01 01 2018 22:30,12.9,3536.99,0,0.0,
01 01 2018 22:40,12.74,3528.66,0,0.0,
01 01 2018 22:50,12.32,3581.54,0,0.0,
01 01 2018 23:00,12.42,3570.08,0,0.0,
01 01 2018 23:10,12.54,3597.6,0,0.0,
01 01 2018 23:20,12.68,3441.03,0,0.0,
01 01 2018 23:30,13.0,3373.97,0,0.0,
01 01 2018 23:40,13.3,3369.81,0,0.0,
01 01 2018 23:50,12.84,3375.9,0,0.0,
02 01 2018 00:00,12.71,3377.65,0,0.0,
02 01 2018 00:10,12.18,3374.42,0,0.0,
02 01 2018 00:20,12.21,3401.08,0,0.0,
02 01 2018 00:30,12.6,3469.41,0,0.0,
02 01 2018 00:40,12.84,3511.81,0,0.0,
02 01 2018 00:50,12.5,3536.76,0,0.0,
02 01 2018 01:00,12.1,3467.81,0,0.0,
02 01 2018 01:10,12.2,3460.68,0,0.0,
02 01 2018 01:20,12.55,3589.44,0,0.0,
02 01 2018 01:30,12.62,3527.72,0,0.0,
02 01 2018 01:40,13.1,3561.27,0,0.0,
02 01 2018 01:50,13.69,3604.07,0,0.0,
02 01 2018 02:00,14.1,3604.18,0,0.0,
02 01 2018 02:10,14.39,3593.2,0,0.0,
02 01 2018 02:20,14.08,3493.82,0,0.0,
02 01 2018 02:30,14.05,3470.7,0,0.0,
02 01 2018 02:40,13.51,3436.61,0,0.0,
02 01 2018 02:50,13.71,3401.46,0,0.0,
02 01 2018 03:00,13.74,3395.23,0,0.0,
02 01 2018 03:10,13.14,3417.5,0,0.0,
02 01 2018 03:20,12.87,3465.11,0,0.0,
02 01 2018 03:30,12.85,3467.42,0,0.0,
02 01 2018 03:40,12.73,3522.41,0,0.0,
02 01 2018 03:50,12.52,3510.11,0,0.0,
02 01 2018 04:00,12.6,3513.84,0,0.0,
02 01 2018 04:10,13.23,3564.01,0,0.0,
02 01 2018 04:20,13.09,3475.28,0,0.0,
02 01 2018 04:30,12.92,3561.99,0,0.0,
02 01 2018 04:40,12.63,3521.55,0,0.0,
02 01 2018 04:50,12.83,3493.61,0,0.0,
02 01 2018 05:00,12.54,3555.3,0,0.0,
02 01 2018 05:10,12.1,3377.13,0,0.0,
02 01 2018 05:20,12.36,3479.63,0,0.0,
02 01 2018 05:30,12.6,3539.11,0,0.0,
02 01 2018 05:40,12.21,3430.44,0,0.0,
02 01 2018 05:50,11.99,3301.92,0,0.0,
02 01 2018 06:00,11.68,3235.54,0,0.0,
02 01 2018 06:10,12.47,3519.02,0,0.0,
02 01 2018 06:20,12.49,3469.54,0,0.0,
02 01 2018 06:30,11.79,3296.19,0,0.0,
02 01 2018 06:40,10.9,3045.51,0,0.0,
02 01 2018 06:50,12.19,3444.74,0,0.0,
02 01 2018 07:00,11.98,3417.75,0,0.0,
02 01 2018 07:10,10.67,2807.61,0,0.0,
02 01 2018 07:20,9.7,2493.39,0,0.0,
02 01 2018 07:30,11.42,3215.2,0,0.0,
02 01 2018 07:40,12.69,3589.59,0,0.0,
02 01 2018 07:50,13.06,3599.15,0,0.0,
02 01 2018 08:00,11.52,3375.18,0,0.0,
02 01 2018 08:10,11.51,3346.98,0,0.0,
02 01 2018 08:20,12.42,3567.97,0,0.0,
02 01 2018 08:30,12.16,3519.26,0,0.0,
02 01 2018 08:40,11.67,3485.19,0,0.0,
02 01 2018 08:50,11.15,3145.56,0,0.0,
02 01 2018 09:00,10.77,2978.31,0,0.0,
02 01 2018 09:10,10.93,3179.01,0,0.0,
02 01 2018 09:20,12.14,3461.58,0,0.0,
02 01 2018 09:30,11.2,3082.55,0,0.0,
02 01 2018 09:40,12.95,3493.66,0,0.0,
02 01 2018 09:50,14.88,3601.05,0,0.0,
02 01 2018 10:00,15.12,3597.56,0,0.0,
02 01 2018 10:10,16.29,3602.17,0,0.0,
02 01 2018 10:20,16.12,3601.99,0,0.0,
02 01 2018 10:30,15.27,3600.79,0,0.0,
02 01 2018 10:40,13.57,3590.75,0,0.0,
02 01 2018 10:50,15.37,3601.85,0,0.0,
02 01 2018 11:00,15.86,3601.87,0,0.0,
02 01 2018 11:10,14.92,3591.66,0,0.0,
02 01 2018 11:20,13.61,3579.02,0,0.0,
02 01 2018 11:30,14.46,3598.13,0,0.0,
02 01 2018 11:40,12.69,3525.33,0,0.0,
02 01 2018 11:50,13.56,3560.7,0,0.0,
02 01 2018 12:00,13.32,3537.68,0,0.0,
02 01 2018 12:10,12.61,3491.29,0,0.0,
02 01 2018 12:20,12.31,3530.77,0,0.0,
02 01 2018 12:30,10.38,2915.84,0,0.0,
02 01 2018 12:40,9.12,2178.66,0,0.0,
02 01 2018 12:50,9.25,2244.41,0,0.0,
02 01 2018 13:00,9.07,1278.9,0,0.0,
02 01 2018 13:10,10.34,2832.93,0,0.0,
02 01 2018 13:20,11.1,3205.97,0,0.0,
02 01 2018 13:30,11.07,3149.28,0,0.0,
02 01 2018 13:40,11.33,3273.66,0,0.0,
02 01 2018 13:50,11.02,3114.1,0,0.0,
02 01 2018 14:00,10.91,3111.06,0,0.0,
02 01 2018 14:10,11.77,3361.01,0,0.0,
02 01 2018 14:20,11.87,3421.42,0,0.0,
02 01 2018 14:30,12.17,3520.15,0,0.0,
02 01 2018 14:40,12.82,3589.43,0,0.0,
02 01 2018 14:50,12.57,3495.12,0,0.0,
02 01 2018 15:00,11.4,3298.76,0,0.0,
