timestamp,wind_speed,grid_activepower,anomaly_status,anomaly_severity,lr_coef
03 01 2018 08:50,3.85,87.44,1,0.3,175.0096695
03 01 2018 09:00,4.55,189.14,1,0.3,140.9289474
03 01 2018 09:10,5.74,434.43,1,0.3,185.9910555
03 01 2018 17:30,3.68,50.42,1,0.6,142.0782748
03 01 2018 17:40,4.12,88.19,1,1,138
03 01 2018 17:50,4.99,242.31,1,0.6,150.7834321
03 01 2018 18:00,4.87,262.8,1,0.3,196.8684211
05 01 2018 03:50,3.95,88.94,1,0.6,130.940281
05 01 2018 06:20,4.08,102.55,1,0.6,108.0880721
05 01 2018 06:30,3.84,77.85,1,0.3,109.0804438
05 01 2018 06:40,3.98,81.45,1,0.6,97.9587156
05 01 2018 06:50,3.82,66.64,1,0.6,67.93421053
05 01 2018 07:00,3.98,90.01,1,0.6,119.3125
05 01 2018 07:10,4.14,112.03,1,0.6,141.84375
05 01 2018 07:20,3.93,82.11,1,0.6,141.2936288
08 01 2018 23:40,5.43,361.34,1,0.3,128.6153846
08 01 2018 23:50,5.38,347.21,1,0.3,158.5918367
09 01 2018 00:30,5.49,368.5,1,0.3,187.8368552
09 01 2018 00:40,5.23,325.63,1,0.3,167.3076037
09 01 2018 00:50,4.79,232.68,1,0.3,195.8442492
09 01 2018 04:20,4.53,187.76,1,0.3,173.098846
09 01 2018 04:30,5.01,290.88,1,0.3,192.0722154
10 01 2018 01:30,4.21,130.5,1,0.3,173.6455467
11 01 2018 03:40,6.19,536.32,1,0.3,180.3337802
11 01 2018 07:10,5.15,248.44,1,0.6,148.0052207
11 01 2018 07:20,4.56,159.75,1,0.6,153.6248575
11 01 2018 07:30,5.32,299.62,1,0.6,175.2869265
11 01 2018 07:40,5.18,290.56,1,0.6,192.2084352
11 01 2018 07:50,4.79,234.22,1,0.3,127.9341582
13 01 2018 21:40,13.28,1793.9,1,1,26.47950956
13 01 2018 21:50,13.93,1765.41,1,1,23.30822052
13 01 2018 22:40,12.19,361.25,1,1,5.853528365
13 01 2018 22:50,12.56,367.87,1,1,5.519074916
13 01 2018 23:00,12.75,360.87,1,1,1.863131936
13 01 2018 23:10,13.45,359.99,1,1,6.796540737
14 01 2018 08:30,12.13,274.65,1,1,66.1859281
