frameId,radarRoi,radarSize,radarState,radarID,
0 ,0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   ,0.000000 0.000000   0.000000 0.000000   ,0 0 ,0 0 ,
1 ,0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   ,0.000000 0.000000   0.000000 0.000000   ,0 0 ,0 0 ,
2 ,0.000000 0.000000 0.000000 0.000000   14.085057 -5.482941 -2.822289 0.676843   ,0.000000 0.000000   2.442339 2.247154   ,0 2 ,0 1 ,
3 ,0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   13.802829 -5.415257 -2.822289 0.676843   ,0.000000 0.000000   0.000000 0.000000   0.000000 0.000000   2.442339 2.247154   ,0 0 0 2 ,0 0 0 1 ,
4 ,0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   ,0.000000 0.000000   0.000000 0.000000   0.000000 0.000000   ,0 0 0 ,0 0 0 ,
5 ,0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   ,0.000000 0.000000   0.000000 0.000000   ,0 0 ,0 0 ,
6 ,6.215997 -1.791722 5.009807 -2.094988   ,3.324846 5.269303   ,2 ,5 ,
7 ,6.673703 -1.241652 5.223156 -1.509783   ,2.655942 4.693660   ,2 ,5 ,
8 ,6.974225 -0.695445 5.605364 -0.747583   ,2.226374 3.990583   ,2 ,5 ,
9 ,8.557803 -0.827573 7.655681 -0.356429   ,2.840637 2.133905   ,2 ,5 ,
10 ,9.169537 -0.239847 8.007689 0.797162   ,2.870789 2.347404   ,2 ,5 ,
11 ,9.866261 0.218549 8.351327 1.595295   ,2.569438 1.622638   ,2 ,5 ,
12 ,10.529821 0.569303 8.303922 1.959820   ,2.607332 1.017629   ,2 ,5 ,
13 ,11.282175 0.888190 8.246305 2.202728   ,2.030621 2.609772   ,2 ,5 ,
14 ,12.030600 1.181386 8.125545 2.329270   ,2.445944 2.919698   ,2 ,5 ,
15 ,12.878706 1.461722 8.175966 2.422363   ,0.731197 0.537500   ,2 ,5 ,
16 ,13.686274 1.735989 8.139500 2.473933   ,0.699508 2.733325   ,2 ,5 ,
17 ,0.000000 0.000000 0.000000 0.000000   14.476933 1.991178 8.082496 2.481782   ,0.000000 0.000000   0.820156 2.786393   ,0 2 ,0 5 ,
18 ,0.000000 0.000000 0.000000 0.000000   15.521960 2.272369 8.531620 2.563982   ,0.000000 0.000000   0.807580 0.917821   ,0 2 ,0 5 ,
19 ,0.000000 0.000000 0.000000 0.000000   3.098315 -2.886285 1.792716 -1.917093   16.422575 2.561010 8.645489 2.623282   ,0.000000 0.000000   2.167487 3.561891   0.860008 2.362823   ,0 2 2 ,0 9 5 ,
20 ,3.431936 -2.709990 2.101292 -1.796861   17.287125 2.823339 8.645489 2.623282   ,5.914631 1.588063   0.860008 2.362823   ,2 2 ,9 5 ,
21 ,3.840254 -2.309062 2.642784 -1.502824   ,5.628607 4.067119   ,2 ,9 ,
22 ,0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   4.352894 -1.888685 3.599046 -1.136742   ,0.000000 0.000000   0.000000 0.000000   3.599092 2.079613   ,0 0 2 ,0 0 9 ,
23 ,0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   4.872287 -1.385111 4.494123 -0.650744   ,0.000000 0.000000   0.000000 0.000000   4.335785 4.764389   ,0 0 2 ,0 0 9 ,
24 ,0.000000 0.000000 0.000000 0.000000   24.167898 7.661610 8.609454 2.749829   4.981559 -0.584821 4.774832 -0.064945   ,0.000000 0.000000   0.811769 0.694557   3.469007 3.750976   ,0 2 2 ,0 11 9 ,
25 ,25.029011 7.935927 8.609505 2.749529   5.461070 -0.113412 5.442346 0.497443   ,0.573652 0.514374   3.424978 3.611638   ,2 2 ,11 9 ,
26 ,25.873867 8.261873 8.600699 2.777129   6.522232 0.006420 6.266150 0.901220   ,0.758411 1.129589   3.375070 1.743427   ,2 2 ,11 9 ,
27 ,0.000000 0.000000 0.000000 0.000000   26.713766 8.556635 8.539080 2.769988   8.884272 0.241870 8.643214 1.944120   ,0.000000 0.000000   0.391401 1.860961   3.280776 1.925470   ,0 2 2 ,0 11 9 ,
28 ,0.000000 0.000000 0.000000 0.000000   27.552610 8.866000 8.512228 2.786486   9.789456 0.554290 8.699746 2.241456   ,0.000000 0.000000   0.710451 0.980909   3.426213 2.539049   ,0 2 2 ,0 11 9 ,
29 ,28.387299 9.213057 8.518800 2.842884   10.826760 0.856376 8.980595 2.466056   ,0.924749 1.450470   3.199490 2.240123   ,2 2 ,11 9 ,
30 ,0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   29.239178 9.497345 8.518800 2.842884   11.724820 1.102982 8.980595 2.466056   ,0.000000 0.000000   0.000000 0.000000   0.000000 0.000000   0.924749 1.450470   3.199490 2.240123   ,0 0 0 2 2 ,0 0 0 11 9 ,
31 ,0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   ,0.000000 0.000000   0.000000 0.000000   0.000000 0.000000   ,0 0 0 ,0 0 0 ,
32 ,0.000000 0.000000 0.000000 0.000000   2.081863 -2.872572 0.789050 -0.520172   34.778275 12.518180 7.996886 2.877485   19.232204 4.144087 9.151278 2.012260   ,0.000000 0.000000   1.330119 3.188073   0.471989 0.594680   0.989254 2.565770   ,0 2 2 2 ,0 19 18 17 ,
33 ,0.000000 0.000000 0.000000 0.000000   2.918745 -2.335771 1.445726 -0.275380   35.577965 12.805928 7.996886 2.877485   20.095835 4.594398 9.120153 2.146382   ,0.000000 0.000000   6.060170 2.166022   0.471989 0.594680   0.842361 0.961944   ,0 2 2 2 ,0 19 18 17 ,
34 ,0.000000 0.000000 0.000000 0.000000   0.000000 0.000000 0.000000 0.000000   3.304498 -0.978744 2.249780 0.268936   21.007851 4.809036 9.120153 2.146382   ,0.000000 0.000000   0.000000 0.000000   3.478166 5.254374   0.842361 0.961944   ,0 0 2 2 ,0 0 19 17 ,
